参数集,明文大小,明文字节数,测试次数,keygen_mean_ms,keygen_std_ms,keygen_median_ms,keygen_p95_ms,keygen_min_ms,keygen_max_ms,encaps_mean_ms,encaps_std_ms,encaps_median_ms,encaps_p95_ms,encaps_min_ms,encaps_max_ms,decaps_mean_ms,decaps_std_ms,decaps_median_ms,decaps_p95_ms,decaps_min_ms,decaps_max_ms,kem_handshake_mean_ms,kem_handshake_std_ms,kem_handshake_median_ms,kem_handshake_p95_ms,kem_handshake_min_ms,kem_handshake_max_ms,kdf_total_mean_ms,kdf_total_std_ms,kdf_total_median_ms,kdf_total_p95_ms,kdf_total_min_ms,kdf_total_max_ms,aes_total_mean_ms,aes_total_std_ms,aes_total_median_ms,aes_total_p95_ms,aes_total_min_ms,aes_total_max_ms,end_to_end_total_mean_ms,end_to_end_total_std_ms,end_to_end_total_median_ms,end_to_end_total_p95_ms,end_to_end_total_min_ms,end_to_end_total_max_ms,kem_ratio_mean_ms,kem_ratio_std_ms,kem_ratio_median_ms,kem_ratio_p95_ms,kem_ratio_min_ms,kem_ratio_max_ms,ML-KEM握手平均耗时/ms,AES-GCM加解密平均耗时/ms,KDF平均耗时/ms,端到端平均总耗时/ms,ML-KEM平均开销占比/%,端到端P95耗时/ms,端到端标准差/ms
ML-KEM-512,1KB,1024,100,0.516836,0.1431592590033346,0.46895,0.8362250000000001,0.375,1.001,0.51489,0.1726947552326025,0.45020000000000004,0.8734749999999998,0.3737,1.3306,0.087789,0.03137860332240182,0.07615,0.13339,0.0658,0.3075,1.119515,0.2915673026849024,1.04725,1.88703,0.8275,2.2237,0.054728,0.033288433639049674,0.04355,0.116935,0.0258,0.2112,0.016783,0.016572217562821668,0.014,0.027029999999999995,0.0075,0.169,1.191026,0.32223156853669094,1.11555,2.003055,0.8612000000000001,2.3463000000000003,94.23390792936057,2.156399166963252,95.00678518308662,95.97361846436036,84.44949658980188,96.41265124177457,1.119515,0.016783,0.054728,1.191026,94.23390792936057,2.003055,0.32223156853669094
ML-KEM-768,1KB,1024,100,0.511672,0.18978683793810744,0.45545,0.6643499999999997,0.4094,2.1432,0.494229,0.11339035490220711,0.44375,0.7131749999999999,0.4081,1.0162,0.118229,0.027057455870458665,0.1071,0.15563,0.101,0.2694,1.12413,0.2709189432992529,1.00755,1.5676349999999997,0.92,2.9964,0.042089,0.0186781506611659,0.0338,0.07252499999999995,0.026300000000000004,0.1198,0.01425,0.014024196262462986,0.01095,0.02293,0.0074,0.142,1.180469,0.2909003358418984,1.0534,1.6452449999999996,0.9549000000000001,3.1077,95.36264000960918,1.3884174380027021,95.83558252230009,96.40295991106767,87.03449677386578,96.58366533864542,1.12413,0.01425,0.042089,1.180469,95.36264000960918,1.6452449999999996,0.2909003358418984
ML-KEM-1024,1KB,1024,100,0.533927,0.11386807877823558,0.4942,0.7610650000000001,0.4507,1.2006,0.51528,0.08516104529867888,0.48945,0.6351399999999999,0.4544,1.0708,0.162527,0.023347389078174817,0.1538,0.2072549999999999,0.1465,0.2839,1.211734,0.1757442260039782,1.1418,1.6575950000000002,1.061,1.9063999999999999,0.040233,0.018657649634908194,0.0353,0.07481999999999997,0.0266,0.1535,0.011717,0.0036324590274163567,0.010700000000000001,0.019874999999999997,0.0078000000000000005,0.027,1.263684,0.1915321070323261,1.1910500000000002,1.71432,1.0957999999999999,2.0092,95.9677168005449,1.0828998211710752,96.21846314539897,96.84435381255832,90.25112971331211,97.4941188503631,1.211734,0.011717,0.040233,1.263684,95.9677168005449,1.71432,0.1915321070323261
ML-KEM-512,100KB,102400,100,0.582731,0.19507643655757095,0.53735,0.9671799999999998,0.3916,1.5015,0.533055,0.14868295492711525,0.49705,0.7298250000000001,0.3837,1.3905,0.084959,0.02786008003570628,0.07675,0.122155,0.0678,0.2782,1.200745,0.2927533937817068,1.14955,1.8733599999999995,0.8556,2.5602,0.065744,0.03241010978323918,0.05645,0.13313499999999998,0.0296,0.2338,0.118023,0.08919480423219842,0.09505,0.20925499999999994,0.0828,0.7517999999999999,1.384512,0.3517921962600861,1.3378,2.1469799999999997,0.9822,2.9806,87.02118200013035,4.151640578194799,88.13034284228632,90.05535244997093,58.38246409674981,92.168167102754,1.200745,0.118023,0.065744,1.384512,87.02118200013035,2.1469799999999997,0.3517921962600861
ML-KEM-768,100KB,102400,100,0.527826,0.13787694822748744,0.47609999999999997,0.8330249999999999,0.4182,1.0859,0.486289,0.11832254828786158,0.44565,0.6504749999999999,0.4105,1.2855,0.11265,0.014833653384357905,0.1069,0.142765,0.1014,0.1955,1.126765,0.22651591483098307,1.0406499999999999,1.6092799999999998,0.9368,2.285,0.044866,0.017605751011725367,0.0373,0.077225,0.0277,0.11760000000000001,0.095333,0.027938923484174285,0.08754999999999999,0.11913,0.081,0.2955,1.266964,0.24944294443678486,1.1685999999999999,1.776465,1.0463,2.4724000000000004,88.92767483114547,1.9358681788386138,89.31564332545439,90.56853244449066,77.62763977668097,92.42032033651512,1.126765,0.095333,0.044866,1.266964,88.92767483114547,1.776465,0.24944294443678486
ML-KEM-1024,100KB,102400,100,0.546751,0.18064710197934358,0.49475,0.7949249999999997,0.4594,1.7174,0.532322,0.16461560831528127,0.4833,0.844105,0.4546,1.6124,0.159822,0.01972213840926849,0.15415,0.188035,0.149,0.2826,1.238895,0.2768224247116413,1.1335000000000002,2.00891,1.0781,2.5424,0.043022,0.021072638106503817,0.03635,0.07426499999999998,0.0288,0.1722,0.093489,0.025050828712677737,0.08675,0.10819499999999997,0.0819,0.2659,1.375406,0.30319402922481137,1.2581,2.1814,1.1912,2.7242,90.06254108652986,1.6689099892762769,90.36568439356455,90.85053869299497,78.84779516358464,93.62221670391523,1.238895,0.093489,0.043022,1.375406,90.06254108652986,2.1814,0.30319402922481137
ML-KEM-512,1MB,1048576,100,0.612111,0.2886780517367842,0.5481499999999999,0.8024699999999999,0.4434,2.6832,0.479634,0.21046036514500704,0.41069999999999995,0.7962799999999997,0.3791,1.7112,0.088158,0.027749103834833363,0.0805,0.11011499999999998,0.0718,0.3315,1.179903,0.4642157682434523,1.0420500000000001,1.5832299999999997,0.9107,3.9154000000000004,0.075083,0.04625191463140425,0.06545,0.11945999999999998,0.042499999999999996,0.44089999999999996,1.82849,0.2940338774888212,1.7303,2.321085,1.6619,3.5477,3.083476,0.6551725810298638,2.8716,4.027374999999999,2.6433,6.8606,37.623741435376395,5.447451285084373,36.660488106524525,44.33786569325454,24.59743435641307,66.49231553027087,1.179903,1.82849,0.075083,3.083476,37.623741435376395,4.027374999999999,0.6551725810298638
ML-KEM-768,1MB,1048576,100,0.729904,0.16787184922319812,0.69965,1.0379949999999998,0.5133,1.72,0.587138,0.19062237554013867,0.5119,0.9539749999999998,0.4209,1.5508,0.138823,0.02685711483334941,0.13285,0.19069,0.1105,0.288,1.455865,0.2718699530821472,1.4011,1.979055,1.0583,2.4657,0.09604,0.023268906725543,0.0936,0.13387000000000002,0.0498,0.1921,1.920846,0.20710639554284044,1.875,2.348855,1.6741000000000001,2.8904,3.472751,0.3851443605764446,3.42455,4.161085,2.8121,4.4712,41.71847226641076,4.23879588803886,41.11526423479874,49.64342470784029,29.466935771102932,55.14626945786366,1.455865,1.920846,0.09604,3.472751,41.71847226641076,4.161085,0.3851443605764446
ML-KEM-1024,1MB,1048576,100,0.751906,0.21778829161283295,0.68655,1.1811049999999998,0.5206,1.974,0.592399,0.18421440872751588,0.5347500000000001,0.933595,0.4571,1.7176,0.189139,0.038955343236411956,0.17654999999999998,0.24525000000000002,0.157,0.4135,1.533444,0.36406289897225286,1.4232500000000001,2.1256099999999996,1.1505,3.2424,0.088017,0.04126697766319391,0.07970000000000001,0.14940999999999996,0.043399999999999994,0.3165,1.916652,0.2717983293071196,1.8068499999999998,2.508045,1.6418,3.1165000000000003,3.538113,0.577899634195273,3.38455,4.846405000000001,2.9051,5.8831,43.062904627339464,4.13717943793525,42.407233906166184,51.64627941439134,33.78802261752445,55.11380054733049,1.533444,1.916652,0.088017,3.538113,43.062904627339464,4.846405000000001,0.577899634195273
